"File","Function"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","sanitize_image_prompt"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_read_posts"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_write_posts"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","extract_hook_text"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","generate_story_image"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_editor_fallback"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","get_output_path"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_env_flag"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_write_output_jpg"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_fetch_ambient_music"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_caption_is_incomplete"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_has_mid_sentence_break"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_ai_verify_caption"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_strip_trailing_cta"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","generate_caption"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_sanitize_profanity"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_read_state"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_write_state"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_save_pending"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_load_and_clear_pending"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_try_resume_pending"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","clean_caption_formatting"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","choose_next_cta"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","render_cta"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","choose_hashtags"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_process_caption_output"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_strip_json_fences"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_extract_json_array"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_parse_posts_json_array"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_repair_posts_json_via_llm"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_generate_new_posts"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_is_image_censored"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_generate_image_ai_horde"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_weighted_post_choice"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_corrected_weight"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","generate_image"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","generate_images_batch"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","generate_carousel"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_load_sans"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_load_sans_bold"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","generate_wilma_carousel"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_load_serif"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_load_serif_bold"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","extract_text_from_pdf"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","extract_book_insights"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","add_static_text_overlay"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_load_font"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","generate_reel"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_load_font"
"C:\Users\Huawei\Downloads\ig-autobot\bot.py","_compose_frame"
